"order_item_id","order_id","product_id","quantity","unit_price"
1,1,11,2,6200.00
2,2,3,3,7000.00
3,2,4,3,1800.00
4,3,7,1,5500.00
5,3,6,3,4500.00
6,3,4,2,1800.00
7,4,3,2,7000.00
8,4,13,3,2800.00
9,4,11,1,6200.00
10,5,5,3,600.00
11,5,9,3,1500.00
12,5,1,1,65000.00
13,6,5,2,600.00
14,7,13,1,2800.00
15,7,3,3,7000.00
16,7,9,2,1500.00
17,8,3,2,7000.00
18,9,10,2,1200.00
19,10,4,1,1800.00
20,10,1,3,65000.00
21,11,13,3,2800.00
22,11,3,2,7000.00
23,11,14,3,1100.00
24,12,4,3,1800.00
25,12,9,3,1500.00
26,13,11,3,6200.00
27,13,6,2,4500.00
28,13,8,1,900.00
29,14,10,3,1200.00
30,15,12,3,300.00
31,16,2,1,2500.00
32,16,9,2,1500.00
33,17,12,3,300.00
34,18,4,1,1800.00
35,18,2,3,2500.00
36,19,14,1,1100.00
37,19,12,3,300.00
38,20,12,1,300.00
39,20,6,1,4500.00
40,21,7,1,5500.00
41,22,13,3,2800.00
42,22,14,1,1100.00
43,23,15,1,3200.00
44,24,14,2,1100.00
45,25,7,2,5500.00
46,26,12,3,300.00
47,26,13,3,2800.00
48,26,9,2,1500.00
49,27,10,3,1200.00
50,28,10,2,1200.00
51,29,2,1,2500.00
52,29,14,3,1100.00
53,29,3,1,7000.00
54,30,4,1,1800.00
55,30,10,3,1200.00
56,30,14,1,1100.00
57,31,6,3,4500.00
58,31,5,3,600.00
59,31,4,2,1800.00
60,32,11,2,6200.00
61,32,5,1,600.00
62,32,8,1,900.00
63,33,9,1,1500.00
64,34,15,1,3200.00
65,35,12,3,300.00
66,35,5,3,600.00
67,35,10,1,1200.00
68,36,5,1,600.00
69,37,5,1,600.00
70,37,10,3,1200.00
71,38,5,1,600.00
72,38,14,1,1100.00
73,39,6,1,4500.00
74,40,12,1,300.00
75,40,7,1,5500.00
76,40,9,1,1500.00
77,41,14,2,1100.00
78,42,1,2,65000.00
79,43,4,2,1800.00
80,43,11,3,6200.00
81,43,2,2,2500.00
82,44,15,2,3200.00
83,45,14,1,1100.00
84,45,12,2,300.00
85,45,13,1,2800.00
86,46,14,2,1100.00
87,47,14,1,1100.00
88,47,13,1,2800.00
89,48,5,1,600.00
90,48,14,2,1100.00
91,49,14,1,1100.00
92,49,9,1,1500.00
93,49,6,2,4500.00
94,50,10,2,1200.00
95,51,9,3,1500.00
96,51,2,1,2500.00
97,51,7,2,5500.00
98,52,15,3,3200.00
99,52,13,3,2800.00
100,52,9,3,1500.00
101,53,2,2,2500.00
102,53,11,3,6200.00
103,54,5,2,600.00
104,54,11,2,6200.00
105,54,7,3,5500.00
106,55,11,3,6200.00
107,55,7,3,5500.00
108,56,7,1,5500.00
109,56,9,2,1500.00
110,57,11,2,6200.00
111,57,6,2,4500.00
112,57,8,3,900.00
113,58,2,3,2500.00
114,58,5,3,600.00
115,58,9,3,1500.00
116,59,13,1,2800.00
117,60,10,1,1200.00
118,60,14,2,1100.00
119,61,12,2,300.00
120,61,7,1,5500.00
121,61,8,1,900.00
122,62,4,3,1800.00
123,62,3,3,7000.00
124,63,8,1,900.00
125,64,6,3,4500.00
126,64,13,3,2800.00
127,64,8,3,900.00
128,65,14,2,1100.00
129,65,8,1,900.00
130,65,15,3,3200.00
131,66,8,3,900.00
132,66,2,2,2500.00
133,67,2,1,2500.00
134,67,3,2,7000.00
135,67,14,3,1100.00
136,68,7,3,5500.00
137,68,6,2,4500.00
138,69,15,3,3200.00
139,69,13,3,2800.00
140,70,6,2,4500.00
141,71,12,3,300.00
142,71,9,1,1500.00
143,71,13,2,2800.00
144,72,7,2,5500.00
145,73,15,3,3200.00
146,73,3,3,7000.00
147,74,1,2,65000.00
148,74,2,1,2500.00
149,74,11,2,6200.00
150,75,4,2,1800.00
151,75,8,2,900.00
152,76,14,2,1100.00
153,76,2,1,2500.00
154,77,11,1,6200.00
155,78,4,1,1800.00
156,79,11,3,6200.00
157,79,2,1,2500.00
158,80,10,3,1200.00
159,81,2,1,2500.00
160,81,10,2,1200.00
161,82,4,3,1800.00
162,82,2,3,2500.00
163,82,10,1,1200.00
164,83,13,3,2800.00
165,84,11,1,6200.00
166,84,6,3,4500.00
167,85,2,2,2500.00
168,85,7,3,5500.00
169,86,12,3,300.00
170,87,8,3,900.00
171,87,7,3,5500.00
172,88,15,1,3200.00
173,88,8,2,900.00
174,89,8,2,900.00
175,90,6,3,4500.00
176,90,5,3,600.00
177,91,4,3,1800.00
178,91,2,2,2500.00
179,91,15,2,3200.00
180,92,13,1,2800.00
181,92,1,2,65000.00
182,93,10,3,1200.00
183,93,6,3,4500.00
184,93,8,2,900.00
185,94,8,2,900.00
186,94,5,1,600.00
187,94,14,1,1100.00
188,95,9,1,1500.00
189,95,13,1,2800.00
190,95,12,1,300.00
191,96,10,1,1200.00
192,96,5,2,600.00
193,96,2,1,2500.00
194,97,9,1,1500.00
195,97,3,1,7000.00
196,97,5,3,600.00
197,98,14,1,1100.00
198,99,6,1,4500.00
199,99,3,2,7000.00
200,100,8,3,900.00
201,100,2,3,2500.00
