"order_id","customer_id","order_date","order_status","payment_method"
1,3,"2026-02-24","Cancelled","Debit Card"
2,13,"2026-06-14","Delivered","Credit Card"
3,18,"2026-03-09","Cancelled","Cash on Delivery"
4,3,"2026-01-13","Delivered","Credit Card"
5,13,"2026-04-08","Cancelled","Cash on Delivery"
6,22,"2026-05-18","Delivered","Debit Card"
7,6,"2026-04-27","Delivered","Debit Card"
8,27,"2026-06-13","Cancelled","Net Banking"
9,25,"2026-02-11","Cancelled","Net Banking"
10,16,"2026-01-05","Delivered","Debit Card"
11,3,"2026-01-22","Delivered","UPI"
12,6,"2026-03-09","Cancelled","Net Banking"
13,7,"2026-07-02","Delivered","Cash on Delivery"
14,8,"2026-02-27","Delivered","Debit Card"
15,8,"2026-05-31","Delivered","UPI"
16,2,"2026-02-28","Delivered","UPI"
17,22,"2026-05-05","Delivered","Net Banking"
18,19,"2026-05-02","Delivered","Cash on Delivery"
19,14,"2026-04-01","Delivered","Cash on Delivery"
20,21,"2026-06-15","Delivered","UPI"
21,7,"2026-02-18","Cancelled","Cash on Delivery"
22,9,"2026-04-29","Delivered","UPI"
23,2,"2026-06-16","Cancelled","UPI"
24,6,"2026-04-15","Delivered","Cash on Delivery"
25,29,"2026-01-16","Delivered","Cash on Delivery"
26,30,"2026-04-27","Delivered","Cash on Delivery"
27,5,"2026-02-18","Delivered","Credit Card"
28,18,"2026-01-16","Delivered","UPI"
29,17,"2026-05-16","Delivered","UPI"
30,22,"2026-03-02","Delivered","UPI"
31,14,"2026-06-18","Cancelled","Net Banking"
32,8,"2026-03-09","Delivered","Credit Card"
33,15,"2026-06-09","Cancelled","UPI"
34,17,"2026-03-09","Delivered","Debit Card"
35,12,"2026-03-14","Delivered","Cash on Delivery"
36,22,"2026-05-22","Delivered","UPI"
37,29,"2026-01-28","Cancelled","Credit Card"
38,11,"2026-02-22","Delivered","Net Banking"
39,21,"2026-04-19","Delivered","UPI"
40,21,"2026-03-09","Delivered","Cash on Delivery"
41,29,"2026-06-26","Delivered","Net Banking"
42,19,"2026-05-22","Delivered","Cash on Delivery"
43,12,"2026-01-11","Delivered","Credit Card"
44,20,"2026-02-09","Delivered","Credit Card"
45,1,"2026-02-15","Delivered","Cash on Delivery"
46,26,"2026-06-29","Delivered","Cash on Delivery"
47,8,"2026-02-21","Delivered","Debit Card"
48,1,"2026-06-18","Delivered","Cash on Delivery"
49,12,"2026-06-14","Cancelled","Cash on Delivery"
50,6,"2026-05-29","Delivered","UPI"
51,12,"2026-07-06","Delivered","Cash on Delivery"
52,2,"2026-07-01","Delivered","UPI"
53,24,"2026-06-21","Delivered","Debit Card"
54,11,"2026-06-19","Delivered","Debit Card"
55,10,"2026-05-22","Delivered","Credit Card"
56,29,"2026-02-14","Cancelled","Net Banking"
57,10,"2026-02-23","Delivered","Net Banking"
58,7,"2026-05-11","Delivered","Credit Card"
59,11,"2026-01-24","Delivered","Debit Card"
60,5,"2026-01-07","Delivered","Credit Card"
61,14,"2026-06-11","Cancelled","Credit Card"
62,21,"2026-06-26","Delivered","UPI"
63,15,"2026-01-13","Cancelled","Credit Card"
64,26,"2026-04-29","Cancelled","Net Banking"
65,14,"2026-05-21","Delivered","Credit Card"
66,9,"2026-05-14","Delivered","Credit Card"
67,8,"2026-03-11","Delivered","Debit Card"
68,5,"2026-06-30","Delivered","UPI"
69,14,"2026-01-16","Delivered","Cash on Delivery"
70,1,"2026-05-28","Delivered","Cash on Delivery"
71,25,"2026-04-10","Delivered","Net Banking"
72,8,"2026-03-11","Delivered","Cash on Delivery"
73,22,"2026-06-23","Delivered","Credit Card"
74,1,"2026-04-11","Cancelled","Net Banking"
75,6,"2026-01-13","Delivered","Cash on Delivery"
76,25,"2026-04-08","Delivered","Cash on Delivery"
77,24,"2026-05-19","Delivered","Debit Card"
78,25,"2026-06-16","Delivered","UPI"
79,20,"2026-02-09","Delivered","Credit Card"
80,15,"2026-06-29","Delivered","Debit Card"
81,24,"2026-07-03","Delivered","Credit Card"
82,19,"2026-06-23","Delivered","Cash on Delivery"
83,4,"2026-06-28","Delivered","Net Banking"
84,26,"2026-01-11","Delivered","Net Banking"
85,21,"2026-03-29","Delivered","Cash on Delivery"
86,29,"2026-04-28","Delivered","Cash on Delivery"
87,21,"2026-03-11","Cancelled","Net Banking"
88,9,"2026-03-24","Delivered","UPI"
89,19,"2026-06-06","Delivered","Debit Card"
90,6,"2026-05-05","Delivered","Debit Card"
91,29,"2026-03-12","Cancelled","UPI"
92,18,"2026-03-03","Delivered","Cash on Delivery"
93,8,"2026-04-14","Delivered","Debit Card"
94,14,"2026-05-21","Delivered","Debit Card"
95,24,"2026-02-19","Delivered","UPI"
96,24,"2026-05-04","Delivered","Net Banking"
97,12,"2026-02-15","Delivered","UPI"
98,10,"2026-06-28","Delivered","Cash on Delivery"
99,19,"2026-03-14","Delivered","Cash on Delivery"
100,28,"2026-05-03","Delivered","UPI"
